b'id',b'key',b'value',b'type'
20758133,b'source',b'PGS',b'regular'
20758134,b'created_by',b'almien_coastlines',b'regular'
20758134,b'source',b'PGS',b'regular'
20758135,b'created_by',b'almien_coastlines',b'regular'
20758135,b'source',b'PGS',b'regular'
20758136,b'created_by',b'almien_coastlines',b'regular'
20758136,b'source',b'PGS',b'regular'
20758137,b'created_by',b'almien_coastlines',b'regular'
20758137,b'source',b'PGS',b'regular'
20758138,b'created_by',b'almien_coastlines',b'regular'
20758138,b'source',b'PGS',b'regular'
20758139,b'created_by',b'almien_coastlines',b'regular'
20758139,b'source',b'PGS',b'regular'
20758141,b'created_by',b'almien_coastlines',b'regular'
20758141,b'source',b'PGS',b'regular'
20758142,b'created_by',b'almien_coastlines',b'regular'
20758142,b'source',b'PGS',b'regular'
20758143,b'created_by',b'almien_coastlines',b'regular'
20758143,b'source',b'PGS',b'regular'
20758145,b'created_by',b'almien_coastlines',b'regular'
20758145,b'source',b'PGS',b'regular'
20758146,b'created_by',b'almien_coastlines',b'regular'
20758146,b'source',b'PGS',b'regular'
20758147,b'created_by',b'almien_coastlines',b'regular'
20758147,b'source',b'PGS',b'regular'
20758148,b'created_by',b'almien_coastlines',b'regular'
20758148,b'source',b'PGS',b'regular'
20758150,b'created_by',b'almien_coastlines',b'regular'
20758150,b'source',b'PGS',b'regular'
20758151,b'source',b'PGS',b'regular'
20758152,b'source',b'PGS',b'regular'
20758153,b'source',b'PGS',b'regular'
20758154,b'source',b'PGS',b'regular'
20758155,b'created_by',b'almien_coastlines',b'regular'
20758155,b'source',b'PGS',b'regular'
20758156,b'created_by',b'almien_coastlines',b'regular'
20758156,b'source',b'PGS',b'regular'
20758158,b'created_by',b'almien_coastlines',b'regular'
20758158,b'source',b'PGS',b'regular'
20758159,b'created_by',b'almien_coastlines',b'regular'
20758159,b'source',b'PGS',b'regular'
20758160,b'created_by',b'almien_coastlines',b'regular'
20758160,b'source',b'PGS',b'regular'
20758161,b'created_by',b'almien_coastlines',b'regular'
20758161,b'source',b'PGS',b'regular'
20758162,b'created_by',b'almien_coastlines',b'regular'
20758162,b'source',b'PGS',b'regular'
20758163,b'created_by',b'almien_coastlines',b'regular'
20758163,b'source',b'PGS',b'regular'
20758164,b'created_by',b'almien_coastlines',b'regular'
20758164,b'source',b'PGS',b'regular'
20758165,b'created_by',b'almien_coastlines',b'regular'
20758165,b'source',b'PGS',b'regular'
20758166,b'created_by',b'almien_coastlines',b'regular'
20758166,b'source',b'PGS',b'regular'
20758167,b'source',b'PGS',b'regular'
20758168,b'created_by',b'almien_coastlines',b'regular'
20758168,b'source',b'PGS',b'regular'
20758169,b'created_by',b'almien_coastlines',b'regular'
20758169,b'source',b'PGS',b'regular'
20758170,b'created_by',b'almien_coastlines',b'regular'
20758170,b'source',b'PGS',b'regular'
20758171,b'created_by',b'almien_coastlines',b'regular'
20758171,b'source',b'PGS',b'regular'
21631320,b'created_by',b'JOSM',b'regular'
21631321,b'created_by',b'JOSM',b'regular'
21631323,b'created_by',b'JOSM',b'regular'
21631331,b'barrier',b'toll_booth',b'regular'
21631331,b'name',b'Mariannhill',b'regular'
21631331,b'operator',b'SANRAL',b'regular'
21631332,b'created_by',b'JOSM',b'regular'
21631335,b'created_by',b'JOSM',b'regular'
21631368,b'created_by',b'JOSM',b'regular'
21631369,b'created_by',b'JOSM',b'regular'
21631370,b'created_by',b'JOSM',b'regular'
21631371,b'created_by',b'JOSM',b'regular'
21631372,b'created_by',b'JOSM',b'regular'
