b'id',b'key',b'value',b'type'
b'19784770',b'name',b'Lower Marine Parade',b'regular'
b'19784770',b'service',b'parking_aisle',b'regular'
b'19784770',b'source',b'eThekwini Metro',b'regular'
b'19784770',b'surface',b'paved',b'regular'
b'19784779',b'highway',b'unclassified',b'regular'
b'19784779',b'name',b'Snell Parade',b'regular'
b'19784779',b'oneway',b'yes',b'regular'
b'19784809',b'highway',b'residential',b'regular'
b'19784809',b'name',b'Gladys Mazibuko Road',b'regular'
b'19784809',b'old_name',b'Marriot Road',b'regular'
b'19784809',b'oneway',b'yes',b'regular'
b'19784809',b'surface',b'paved',b'regular'
b'19784810',b'highway',b'service',b'regular'
b'19784818',b'highway',b'secondary',b'regular'
b'19784818',b'name',b'Umbilo Road',b'regular'
b'19784818',b'oneway',b'yes',b'regular'
b'19784822',b'highway',b'unclassified',b'regular'
b'19784841',b'highway',b'residential',b'regular'
b'19784862',b'highway',b'residential',b'regular'
b'19784862',b'name',b'Dr Yusuf Dadoo Street',b'regular'
b'19784862',b'old_name',b'Grey Street',b'regular'
b'19784862',b'oneway',b'yes',b'regular'
b'19784862',b'surface',b'paved',b'regular'
b'19784863',b'highway',b'residential',b'regular'
b'19784863',b'name',b'Dr Yusuf Dadoo Street',b'regular'
b'19784863',b'old_name',b'Grey Street',b'regular'
b'19784863',b'surface',b'paved',b'regular'
b'19784881',b'highway',b'residential',b'regular'
b'19784885',b'highway',b'secondary',b'regular'
b'19784885',b'name',b'Umgeni Road',b'regular'
b'19784885',b'oneway',b'yes',b'regular'
b'19784885',b'ref',b'R102',b'regular'
b'19784901',b'highway',b'residential',b'regular'
b'19784901',b'name',b'Joseph Nduli Street',b'regular'
b'19784901',b'old_name',b'Russell Street',b'regular'
b'19784901',b'oneway',b'yes',b'regular'
b'19784901',b'surface',b'paved',b'regular'
b'19784908',b'highway',b'unclassified',b'regular'
b'19784908',b'name',b'Kensington Boulevard',b'regular'
b'19784908',b'oneway',b'yes',b'regular'
b'19784916',b'highway',b'service',b'regular'
b'19784917',b'highway',b'service',b'regular'
b'19880836',b'highway',b'residential',b'regular'
b'19880836',b'name',b'Sandy Lane',b'regular'
b'19880837',b'created_by',b'JOSM',b'regular'
b'19880837',b'highway',b'residential',b'regular'
b'19880837',b'name',b'Forest View Drive',b'regular'
b'19880838',b'highway',b'residential',b'regular'
b'19880838',b'name',b'Glenart Road',b'regular'
b'19880848',b'highway',b'residential',b'regular'
b'19880848',b'name',b'Surrey Lane',b'regular'
b'19880854',b'created_by',b'JOSM',b'regular'
b'19880854',b'highway',b'residential',b'regular'
b'19880854',b'name',b'Ocean View Drive',b'regular'
b'19880856',b'created_by',b'JOSM',b'regular'
b'19880856',b'highway',b'residential',b'regular'
b'19880856',b'name',b'Molweni Road',b'regular'
b'19880857',b'created_by',b'JOSM',b'regular'
b'19880857',b'highway',b'residential',b'regular'
b'19880857',b'name',b'Falls View Road',b'regular'
b'19966435',b'amenity',b'parking',b'regular'
b'19966436',b'amenity',b'parking',b'regular'
b'19966438',b'gauge',b'1067',b'regular'
b'19966438',b'railway',b'disused',b'regular'
b'19966438',b'service',b'siding',b'regular'
b'19966441',b'bridge',b'yes',b'regular'
b'19966441',b'highway',b'footway',b'regular'
b'19966441',b'layer',b'1',b'regular'
b'19966443',b'bridge',b'yes',b'regular'
