b'id',b'user',b'uid',b'version',b'changeset',b'timestamp'
b'19784908',b'Ido Marom',b'2778924',b'6',b'35626541',b'2015-11-28T11:29:21Z'
b'19784916',b'Ori952',b'385027',b'4',b'28388296',b'2015-01-25T05:37:41Z'
b'19784917',b'Adrian Frith',b'5616',b'2',b'10526319',b'2012-01-29T00:41:22Z'
b'19880836',b'andyblack',b'471372',b'2',b'8747914',b'2011-07-17T13:24:32Z'
b'19880837',b'Russell Cloran',b'11991',b'1',b'562929',b'2008-01-07T13:58:09Z'
b'19880838',b'andyblack',b'471372',b'2',b'8747914',b'2011-07-17T13:19:59Z'
b'19880848',b'andyblack',b'471372',b'2',b'8747914',b'2011-07-17T13:19:59Z'
b'19880854',b'Russell Cloran',b'11991',b'1',b'562929',b'2008-01-07T13:58:19Z'
b'19880856',b'Russell Cloran',b'11991',b'1',b'562929',b'2008-01-07T13:58:20Z'
b'19880857',b'Russell Cloran',b'11991',b'1',b'562929',b'2008-01-07T13:58:21Z'
b'19966435',b'unbeZAhlbar',b'1212182',b'2',b'29065370',b'2015-02-24T12:05:42Z'
b'19966436',b'unbeZAhlbar',b'1212182',b'3',b'29065370',b'2015-02-24T12:05:43Z'
b'19966438',b'Kelerei',b'233136',b'5',b'15213403',b'2013-03-01T18:51:26Z'
b'19966441',b'andyblack',b'471372',b'3',b'8885077',b'2011-07-31T20:36:37Z'
b'19966443',b'andyblack',b'471372',b'3',b'8885077',b'2011-07-31T20:31:16Z'
b'19966448',b'Firefishy',b'3560',b'3',b'10337664',b'2012-01-08T22:42:09Z'
b'19966450',b'Adrian Frith',b'5616',b'2',b'10543294',b'2012-01-30T20:07:54Z'
b'19969643',b'Manu1400',b'181135',b'3',b'16173833',b'2013-05-17T22:21:43Z'
b'19969646',b'Celia Sauerman',b'6542711',b'5',b'51565123',b'2017-08-30T07:19:06Z'
b'19969648',b'Russell Cloran',b'11991',b'1',b'572797',b'2008-01-08T08:49:20Z'
b'19969650',b'Manu1400',b'181135',b'2',b'16173833',b'2013-05-17T22:21:44Z'
b'19969651',b'Manu1400',b'181135',b'3',b'16173833',b'2013-05-17T22:21:44Z'
b'19969659',b'Manu1400',b'181135',b'4',b'16173833',b'2013-05-17T22:21:46Z'
b'19970946',b'unbeZAhlbar',b'1212182',b'2',b'29065370',b'2015-02-24T12:06:31Z'
b'19970951',b'andyblack',b'471372',b'2',b'8885077',b'2011-07-31T20:35:10Z'
b'19982362',b'unbeZAhlbar',b'1212182',b'5',b'29065370',b'2015-02-24T12:06:27Z'
b'19982364',b'unbeZAhlbar',b'1212182',b'3',b'29065370',b'2015-02-24T12:05:43Z'
b'19982366',b'unbeZAhlbar',b'1212182',b'2',b'29065370',b'2015-02-24T12:05:44Z'
b'19982368',b'unbeZAhlbar',b'1212182',b'2',b'29065370',b'2015-02-24T12:05:44Z'
b'19984068',b'Goldust321',b'7153495',b'7',b'55762244',b'2018-01-26T06:55:30Z'
b'19984072',b'Goldust321',b'7153495',b'4',b'54432032',b'2017-12-07T13:40:33Z'
b'20099531',b'Russell Cloran',b'11991',b'1',b'581487',b'2008-01-09T08:41:12Z'
b'20099534',b'Kelerei',b'233136',b'5',b'23053474',b'2014-06-20T22:32:45Z'
b'20573510',b'Teddy73',b'136321',b'4',b'5315458',b'2010-07-25T20:31:32Z'
b'20573523',b'Ryan Peel',b'37024',b'3',b'3697469',b'2010-01-24T01:26:21Z'
b'20573528',b'sebastic',b'665748',b'4',b'47181541',b'2017-03-26T18:04:52Z'
b'20573591',b'Teddy73',b'136321',b'3',b'5315458',b'2010-07-25T20:31:32Z'
b'20573602',b'Goldust321',b'7153495',b'2',b'54432442',b'2017-12-07T13:56:15Z'
b'20573606',b'Goldust321',b'7153495',b'3',b'54432442',b'2017-12-07T13:56:14Z'
